00001740-a 00002098-a
00001740-a 05200169-n
00001740-a 05616246-n
00001740-n 00001930-n
00001740-n 00002137-n
00001740-n 04424418-n
00001740-v 00002325-v
00001740-v 00002573-v
00001740-v 00002724-v
00001740-v 00002942-v
00001740-v 00003826-v
00001740-v 00004032-v
00001740-v 00004227-v
00001740-v 00005041-v
00001740-v 00006697-v
00001740-v 00007328-v
00001740-v 00017031-v
00001740-v 00831191-n
00001740-v 03110322-a
00001740-v 04080833-n
00001740-v 04250850-n
00001930-n 00002452-n
00001930-n 00002684-n
00001930-n 00007347-n
00001930-n 00020827-n
00001930-n 00029677-n
00001930-n 14580597-n
00002098-a 05200169-n
00002137-n 00023100-n
00002137-n 00024264-n
00002137-n 00031264-n
00002137-n 00031921-n
00002137-n 00033020-n
00002137-n 00033615-n
00002137-n 00692329-v
00002137-n 05810143-n
00002137-n 07999699-n
00002312-a 00002527-a
00002312-a 00512503-r
00002312-a 06037666-n
00002325-v 00830811-n
00002325-v 00831191-n
00002325-v 02108377-v
00002325-v 03110322-a
00002452-n 04347225-n
00002452-n 09225146-n
00002452-n 09312645-n
00002452-n 09367203-n
00002452-n 09385911-n
00002452-n 09407867-n
00002452-n 09465459-n
00002452-n 09468959-n
00002527-a 00512597-r
00002527-a 06037666-n
00002573-v 03110322-a
00002684-n 00003553-n
00002684-n 00027167-n
00002684-n 00532607-v
00002684-n 03009633-n
00002684-n 03149951-n
00002684-n 03233423-n
00002684-n 03338648-n
00002684-n 03532080-n
00002684-n 03595179-n
00002684-n 03610270-n
00002684-n 03714721-n
00002684-n 03892891-n
00002684-n 04012260-n
00002684-n 04248010-n
00002684-n 04345288-n
00002684-n 04486445-n
00002684-n 07851054-n
00002684-n 09238143-n
00002684-n 09251689-n
00002684-n 09267490-n
00002684-n 09279458-n
00002684-n 09281777-n
00002684-n 09283193-n
00002684-n 09287968-n
00002684-n 09295338-n
00002684-n 09300905-n
00002684-n 09302031-n
00002684-n 09308398-n
00002684-n 09334396-n
00002684-n 09335240-n
00002684-n 09358550-n
00002684-n 09368224-n
00002684-n 09407346-n
00002684-n 09409203-n
00002684-n 09432990-n
00002684-n 09468237-n
00002684-n 09474162-n
00002684-n 09477037-n
00002724-v 00077950-v
00002724-v 14058252-n
00002730-a 00002843-a
00002730-a 06066555-n
00002843-a 06066555-n
00002942-v 00003133-v
00002942-v 00833870-n
00002956-a 00003131-a
00002956-a 06080522-n
00003093-r 00016756-a
00003131-a 01449236-v
00003131-a 06080522-n
00003133-v 00078760-v
00003133-v 00833870-n
00003294-r 01361107-a
00003316-v 00005041-v
00003316-v 00836788-n
00003316-v 02748491-n
00003356-a 00003553-a
00003356-a 00003700-a
00003356-a 00003829-a
00003356-a 00003939-a
00003356-a 07320302-n
00003380-r 00089550-a
00003431-v 00105333-v
00003431-v 00117578-n
00003431-v 09229709-n
00003483-r 00900616-a
00003483-r 01856419-a
00003553-a 00050693-n
00003553-a 02625016-v
00003553-n 00003993-n
00003553-n 00004258-n
00003553-n 00019128-n
00003553-n 00021939-n
00003553-n 00367685-v
00003553-n 00368109-v
00003553-n 00784215-a
00003553-n 01385458-v
00003553-n 01462005-v
00003553-n 02749953-n
00003553-n 03588414-n
00003553-n 03892891-n
00003553-n 04164989-n
00003553-n 04353803-n
00003662-v 00105333-v
00003700-a 07434782-n
00003771-r 00670741-a
00003826-v 14359459-n
00003829-a 14048441-n
00003846-r 07075172-n
00003925-r 00733541-a
00003939-a 00004171-a
00003939-a 00004296-a
00004032-v 07129602-n
00004032-v 07393756-n
00004038-r 00765862-a
00004184-r 01818234-a
00004227-v 00004819-v
00004227-v 00005041-v
00004227-v 00006523-v
00004227-v 00007012-v
00004227-v 00835267-n
00004227-v 01198101-v
00004227-v 03110610-a
00004227-v 14842091-n
00004258-n 00004475-n
00004258-n 00006269-n
00004258-n 00006400-n
00004258-n 00006484-n
00004258-n 01646941-a
00004258-n 05056234-n
00004288-r 01128508-a
00004394-r 00004567-r
00004394-r 01372049-a
00004413-a 00004615-a
00004413-a 00004723-a
00004413-a 00004817-a
00004413-a 00004980-a
00004413-a 01442186-a
00004475-n 00005787-n
00004475-n 00005930-n
00004475-n 00006024-n
00004475-n 00006150-n
00004475-n 00006484-n
00004475-n 00007846-n
00004475-n 00015388-n
00004475-n 00017222-n
00004475-n 00019046-n
00004475-n 00270856-a
00004475-n 00327031-a
00004475-n 01093142-a
00004475-n 01313888-n
00004475-n 01314026-n
00004475-n 01314145-n
00004475-n 01315062-n
00004475-n 01319932-n
00004475-n 01320093-n
00004475-n 01320314-n
00004475-n 01320479-n
00004475-n 01320692-n
00004475-n 01324019-n
00004475-n 01326291-n
00004475-n 01326897-n
00004475-n 01327028-n
00004475-n 01327322-n
00004475-n 01328121-n
