<Code>
hr
</Code>
<Order>
4
</Order>
<Phantom>
#
</Phantom>
<Smoothing>
LinearDiscountAlpha 0.1
VocabularySize  110
</Smoothing>
<Threshold>
25
</Threshold>
<NGrams>
10 \s ! k u
17 \s " . .
12 \s " 1 "
29 \s " a \s
19 \s " a "
13 \s " a b
26 \s " a i
23 \s " a k
65 \s " a l
25 \s " a m
64 \s " a n
17 \s " a r
11 \s " a s
13 \s " a u
26 \s " b "
75 \s " b a
69 \s " b e
72 \s " b i
45 \s " b l
92 \s " b o
54 \s " b r
47 \s " b u
10 \s " c "
52 \s " c a
13 \s " c e
51 \s " c h
30 \s " c i
13 \s " c l
56 \s " c o
52 \s " c r
70 \s " d a
60 \s " d e
72 \s " d i
11 \s " d j
112 \s " d o
55 \s " d r
40 \s " d u
19 \s " e l
15 \s " e n
16 \s " e r
23 \s " e v
50 \s " f a
19 \s " f e
30 \s " f i
26 \s " f l
20 \s " f o
34 \s " f r
15 \s " f u
18 \s " g a
39 \s " g e
62 \s " g i
30 \s " g l
68 \s " g o
57 \s " g r
18 \s " g u
44 \s " h a
65 \s " h e
22 \s " h i
59 \s " h o
53 \s " h r
22 \s " h u
112 \s " i \s
52 \s " i '
13 \s " i f
12 \s " i g
12 \s " i l
21 \s " i m
65 \s " i n
47 \s " i s
27 \s " i t
47 \s " i z
44 \s " j a
48 \s " j e
33 \s " j o
47 \s " j u
93 \s " k a
16 \s " k e
37 \s " k i
14 \s " k l
18 \s " k n
69 \s " k o
73 \s " k r
39 \s " k u
54 \s " l a
44 \s " l e
95 \s " l i
32 \s " l j
89 \s " l o
25 \s " l u
161 \s " m a
90 \s " m e
90 \s " m i
22 \s " m l
92 \s " m o
16 \s " m r
46 \s " m u
21 \s " m y
277 \s " n a
125 \s " n e
54 \s " n i
13 \s " n j
94 \s " n o
10 \s " o \s
29 \s " o b
37 \s " o d
11 \s " o k
20 \s " o l
43 \s " o n
35 \s " o p
18 \s " o r
28 \s " o s
25 \s " o t
12 \s " o u
19 \s " o v
67 \s " p a
43 \s " p e
31 \s " p i
18 \s " p j
49 \s " p l
280 \s " p o
189 \s " p r
49 \s " p u
19 \s " q u
72 \s " r a
61 \s " r e
32 \s " r i
45 \s " r o
27 \s " r u
103 \s " s a
14 \s " s c
63 \s " s e
46 \s " s h
44 \s " s i
14 \s " s j
23 \s " s k
50 \s " s l
22 \s " s m
67 \s " s o
45 \s " s p
28 \s " s r
155 \s " s t
57 \s " s u
74 \s " s v
19 \s " s w
49 \s " t a
48 \s " t e
263 \s " t h
46 \s " t i
52 \s " t o
83 \s " t r
22 \s " t u
14 \s " t w
43 \s " u \s
13 \s " u m
32 \s " u n
16 \s " u p
13 \s " u v
26 \s " v a
36 \s " v e
45 \s " v i
12 \s " v j
15 \s " v l
37 \s " v o
17 \s " v r
25 \s " w a
31 \s " w e
67 \s " w h
29 \s " w i
29 \s " w o
41 \s " y o
131 \s " z a
16 \s " z e
18 \s " z l
11 \s " z n
18 \s " č a
16 \s " č e
16 \s " č i
14 \s " č o
12 \s " š t
16 \s " ž e
19 \s " ž i
20 \s # \s "
13 \s # \s i
12 \s # \s m
53 \s # 1 \s
17 \s # 2 \s
11 \s # 3 \s
10 \s # 4 \s
12 \s % \s g
11 \s % \s p
16 \s % \s s
16 \s % \s u
20 \s % ) \s
22 \s % , \s
14 \s % . \s
13 \s & \s a
10 \s & \s c
12 \s & \s d
14 \s & \s g
16 \s & \s h
14 \s & \s j
13 \s & \s k
24 \s & \s m
16 \s & \s p
11 \s & \s r
42 \s & \s s
26 \s & \s t
11 \s & \s w
11 \s & # 1
13 \s & m i
17 \s ' e m
13 \s ' g r
10 \s ' m a
12 \s ' n '
13 \s ' n e
19 \s ' p r
14 \s ' t h
37 \s ( \s )
47 \s ( \s ,
13 \s ( \s 1
