<Code>
ja
</Code>
<Order>
2
</Order>
<Phantom>
#
</Phantom>
<Smoothing>
LinearDiscountAlpha 0.1
VocabularySize  7074
</Smoothing>
<Threshold>
1000
</Threshold>
<NGrams>
10 \s !
14 \s "
352 \s #
2 \s %
19 \s &
14 \s '
11970 \s (
2480 \s )
3831 \s *
44 \s +
110 \s ,
34440 \s -
4042 \s .
210 \s /
9662 \s 0
42773 \s 1
12898 \s 2
5417 \s 3
4387 \s 4
4055 \s 5
3228 \s 6
2923 \s 7
2333 \s 8
2267 \s 9
8044 \s :
2959 \s ;
2 \s <
115 \s =
117 \s >
84 \s ?
5 \s \\
12 \s {
124 \s |
1 \s }
62 \s ~
10 \s ¦
9 \s «
1 \s ±
10 \s »
7 \s ×
3 \s ̄
1 \s α
1 \s κ
1 \s π
2 \s ҕ
2 \s ҧ
1 \s ב
1 \s מ
2 \s ز
1 \s س
1 \s ط
1 \s ع
1 \s अ
1 \s आ
2 \s उ
8 \s ग
1 \s च
14 \s ज
4 \s त
2 \s द
1 \s न
1 \s प
4 \s भ
5 \s म
1 \s य
5 \s व
2 \s श
1 \s स
7 \s ह
1 \s আ
2 \s উ
3 \s গ
14 \s জ
4 \s ত
1 \s দ
1 \s ন
1 \s প
2 \s ব
2 \s ভ
2 \s ম
1 \s য
2 \s শ
1 \s স
7 \s হ
1 \s ค
1 \s จ
1 \s ช
1 \s น
1 \s บ
1 \s ป
2 \s ว
1 \s ห
2 \s อ
2 \s เ
1 \s โ
92 \s ‐
82 \s –
3 \s —
18 \s ―
13 \s ‘
18 \s “
4 \s ”
2 \s †
396 \s ※
426 \s ←
14 \s ↑
1052 \s →
22 \s ↓
89 \s ⇒
1 \s ∑
8 \s −
5 \s ∥
2 \s ⋆
27 \s ─
118 \s ━
7 \s │
742 \s ┃
2 \s ┌
43 \s ┏
1 \s └
17 \s ┗
10 \s ├
6 \s ┝
1 \s ┠
229 \s ┣
120 \s ■
31 \s □
16 \s ▲
38 \s △
5 \s ▼
10 \s ◆
2 \s ◇
443 \s ○
111 \s ●
5 \s ★
16 \s ☆
1 \s ☎
1 \s ♂
4 \s ♪
454 \s 、
1179 \s 。
92 \s 〃
5 \s 〇
14 \s 〈
3 \s 〉
24 \s 《
2 \s 》
2808 \s 「
289 \s 」
4674 \s 『
64 \s 』
95 \s 【
5 \s 】
118 \s 〒
96 \s 〔
1 \s 〕
13 \s 〜
967 \s あ
914 \s い
291 \s う
190 \s え
901 \s お
1351 \s か
147 \s が
449 \s き
45 \s ぎ
280 \s く
10 \s ぐ
242 \s け
42 \s げ
5170 \s こ
70 \s ご
964 \s さ
6 \s ざ
2917 \s し
138 \s じ
332 \s す
6 \s ず
287 \s せ
18 \s ぜ
4611 \s そ
6 \s ぞ
1652 \s た
323 \s だ
434 \s ち
342 \s つ
2 \s づ
186 \s て
514 \s で
1019 \s と
95 \s ど
1886 \s な
516 \s に
17 \s ぬ
46 \s ね
967 \s の
634 \s は
37 \s ば
3 \s ぱ
560 \s ひ
21 \s び
7 \s ぴ
355 \s ふ
26 \s ぶ
4 \s ぷ
77 \s へ
14 \s べ
3 \s ぺ
329 \s ほ
28 \s ぼ
6 \s ぽ
3789 \s ま
591 \s み
142 \s む
71 \s め
476 \s も
430 \s や
219 \s ゆ
574 \s よ
81 \s ら
168 \s り
30 \s る
44 \s れ
64 \s ろ
198 \s わ
8 \s ゐ
107 \s を
48 \s ん
1718 \s ア
905 \s イ
359 \s ウ
516 \s エ
669 \s オ
616 \s カ
184 \s ガ
495 \s キ
136 \s ギ
381 \s ク
262 \s グ
99 \s ケ
150 \s ゲ
443 \s コ
108 \s ゴ
516 \s サ
81 \s ザ
522 \s シ
455 \s ジ
783 \s ス
10 \s ズ
201 \s セ
27 \s ゼ
255 \s ソ
9 \s ゾ
299 \s タ
225 \s ダ
305 \s チ
2 \s ヂ
34 \s ツ
280 \s テ
282 \s デ
386 \s ト
263 \s ド
173 \s ナ
224 \s ニ
13 \s ヌ
82 \s ネ
112 \s ノ
342 \s ハ
580 \s バ
335 \s パ
125 \s ヒ
165 \s ビ
296 \s ピ
792 \s フ
237 \s ブ
391 \s プ
97 \s ヘ
402 \s ベ
153 \s ペ
288 \s ホ
146 \s ボ
255 \s ポ
735 \s マ
244 \s ミ
68 \s ム
232 \s メ
226 \s モ
164 \s ヤ
570 \s ユ
163 \s ヨ
332 \s ラ
342 \s リ
213 \s ル
267 \s レ
799 \s ロ
101 \s ワ
1 \s ヱ
4 \s ヲ
1 \s ン
239 \s ヴ
144 \s ・
3 \s ー
1678 \s 一
153 \s 丁
306 \s 七
233 \s 万
5 \s 丈
2234 \s 三
1430 \s 上
834 \s 下
344 \s 不
75 \s 与
1 \s 丐
11 \s 丑
5 \s 且
318 \s 世
14 \s 丘
134 \s 丙
7 \s 丞
125 \s 両
21 \s 並
3679 \s 中
29 \s 串
131 \s 丸
212 \s 丹
1229 \s 主
2 \s 丿
28 \s 乃
466 \s 久
7 \s 之
1 \s 乎
79 \s 乗
162 \s 乙
408 \s 九
5 \s 乞
24 \s 乱
29 \s 乳
131 \s 乾
150 \s 亀
1 \s 亂
16 \s 了
87 \s 予
5 \s 争
359 \s 事
786 \s 二
29 \s 于
2 \s 云
10 \s 互
541 \s 五
297 \s 井
8 \s 亘
35 \s 亜
27 \s 亡
1 \s 亢
819 \s 交
6 \s 亥
781 \s 享
1207 \s 京
4 \s 亭
9 \s 亮
4 \s 亳
791 \s 人
3 \s 什
210 \s 仁
1 \s 仄
7 \s 仇
409 \s 今
44 \s 介
1 \s 仍
364 \s 仏
34 \s 仕
520 \s 他
58 \s 付
192 \s 仙
537 \s 代
34 \s 令
625 \s 以
57 \s 仮
5 \s 仰
111 \s 仲
2 \s 件
82 \s 任
123 \s 企
921 \s 伊
6 \s 伍
3 \s 伎
67 \s 伏
2 \s 伐
133 \s 休
323 \s 会
220 \s 伝
53 \s 伯
13 \s 伴
15 \s 伸
11 \s 似
13 \s 伽
6 \s 佃
108 \s 但
57 \s 位
12 \s 低
283 \s 住
1054 \s 佐
1 \s 佑
134 \s 体
64 \s 何
2 \s 佗
73 \s 余
1 \s 佚
18 \s 佛
509 \s 作
1 \s 佩
1 \s 佬
1 \s 佯
27 \s 佳
14 \s 併
5 \s 佼
66 \s 使
197 \s 例
29 \s 侍
1 \s 侏
12 \s 供
35 \s 依
2 \s 侠
5 \s 価
1 \s 侮
18 \s 侯
5 \s 侵
12 \s 便
5 \s 係
88 \s 俊
47 \s 俗
1 \s 俘
1 \s 俚
301 \s 保
437 \s 信
2 \s 俣
125 \s 修
94 \s 俳
8 \s 俵
2 \s 俸
189 \s 倉
139 \s 個
2 \s 倍
1 \s 們
4 \s 倒
1 \s 倖
4 \s 候
40 \s 借
1 \s 倢
4 \s 値
1 \s 倩
3 \s 倪
14 \s 倫
25 \s 倭
15 \s 倶
3 \s 倹
2 \s 偃
1 \s 假
5 \s 偈
3 \s 偉
8 \s 偏
17 \s 偕
19 \s 停
92 \s 健
83 \s 側
1 \s 偵
5 \s 偶
20 \s 偽
1 \s 傀
12 \s 傅
7 \s 傍
12 \s 傘
191 \s 備
8 \s 催
1 \s 傭
5 \s 傳
9 \s 債
12 \s 傷
7 \s 傾
1 \s 僅
7 \s 働
5 \s 像
1 \s 僐
9 \s 僕
1 \s 僚
33 \s 僧
2 \s 僭
16 \s 儀
1 \s 億
49 \s 儒
1 \s 儚
138 \s 優
2 \s 儲
1 \s 儺
2 \s 兀
7 \s 允
1731 \s 元
210 \s 兄
5 \s 充
1 \s 兆
169 \s 先
371 \s 光
25 \s 克
8 \s 兌
40 \s 免
4 \s 兎
186 \s 児
2 \s 兒
1 \s 兗
53 \s 党
11 \s 兜
300 \s 入
840 \s 全
9 \s 兪
836 \s 八
829 \s 公
365 \s 六
296 \s 共
528 \s 兵
19 \s 其
65 \s 具
40 \s 典
119 \s 兼
16 \s 冀
659 \s 内
105 \s 円
4 \s 冉
16 \s 冊
1 \s 册
111 \s 再
2 \s 冏
7 \s 冒
43 \s 写
22 \s 冠
1 \s 冢
3 \s 冤
12 \s 冥
19 \s 冨
89 \s 冬
2 \s 冲
4 \s 冴
40 \s 冷
4 \s 凄
19 \s 准
4 \s 凌
7 \s 凍
1 \s 凖
4 \s 凝
28 \s 凡
1 \s 凢
27 \s 処
2 \s 凧
1 \s 凩
3 \s 凪
3 \s 凰
6 \s 凱
4 \s 凶
2 \s 凸
1 \s 凹
846 \s 出
83 \s 函
25 \s 刀
6 \s 刃
2 \s 刄
149 \s 分
39 \s 切
18 \s 刈
21 \s 刊
106 \s 刑
224 \s 列
885 \s 初
30 \s 判
292 \s 別
300 \s 利
5 \s 到
89 \s 制
3 \s 刷
2 \s 券
24 \s 刺
5 \s 刻
2 \s 剃
32 \s 則
13 \s 削
1401 \s 前
23 \s 剛
77 \s 剣
2 \s 剥
