# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 1 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: F=original form, R=root found in dict, L=lemma in matching dict entry, 
#                    AF/AR/AL=affix followed by F/R/L, FA/RA/LA=F/R/L followed by affix
# 9 Consider the suffix always, not only for unknown words.
# 10 How to retokenize the word if necessary (see uer manual).
#==============================================================

<Prefixes>
a-		*	^AQ	*	0	0	1	A+L	0	-
abyssino-	*	^AQ	*	0	0	1	A+L	0	-
afghano-	*	^AQ	*	0	0	1	A+L	0	-
africano-	*	^AQ	*	0	0	1	A+L	0	-
afro-		*	^AQ	*	0	0	1	A+L	0	-
agri-		*	^AQ	*	0	0	1	A+L	0	-
agricolo-	*	^AQ	*	0	0	1	A+L	0	-
agro-		*	^AQ	*	0	0	1	A+L	0	-
albano-		*	^AQ	*	0	0	1	A+L	0	-
algéro-		*	^AQ	*	0	0	1	A+L	0	-
allemano-	*	^AQ	*	0	0	1	A+L	0	-
américano-	*	^AQ	*	0	0	1	A+L	0	-
américano-	*	^AQ	*	0	0	1	A+L	0	-
anarcho-	*	^AQ	*	0	0	1	A+L	0	-
andorro-	*	^AQ	*	0	0	1	A+L	0	-
anglo-		*	^AQ	*	0	0	1	A+L	0	-
anglo-		*	^AQ	*	0	0	1	A+L	0	-
angolo-		*	^AQ	*	0	0	1	A+L	0	-
anguillo-	*	^AQ	*	0	0	1	A+L	0	-
antarctico-	*	^AQ	*	0	0	1	A+L	0	-
anti-		*	^AQ	*	0	0	1	A+L	0	-
antiguo-	*	^AQ	*	0	0	1	A+L	0	-
après-		*	^AQ	*	0	0	1	A+L	0	-
arabo-		*	^AQ	*	0	0	1	A+L	0	-
archi-		*	^AQ	*	0	0	1	A+L	0	-
arctico-	*	^AQ	*	0	0	1	A+L	0	-
argentino-	*	^AQ	*	0	0	1	A+L	0	-
argento-	*	^AQ	*	0	0	1	A+L	0	-
arméno-		*	^AQ	*	0	0	1	A+L	0	-
arubéo-		*	^AQ	*	0	0	1	A+L	0	-
asiatico-	*	^AQ	*	0	0	1	A+L	0	-
atlantico-	*	^AQ	*	0	0	1	A+L	0	-
australo-	*	^AQ	*	0	0	1	A+L	0	-
austro-		*	^AQ	*	0	0	1	A+L	0	-
auto-		*	^AQ	*	0	0	1	A+L	0	-
azéro-		*	^AQ	*	0	0	1	A+L	0	-
aéro-		*	^AQ	*	0	0	1	A+L	0	-
bahaméo-	*	^AQ	*	0	0	1	A+L	0	-
bahreïno-	*	^AQ	*	0	0	1	A+L	0	-
banglado-	*	^AQ	*	0	0	1	A+L	0	-
barbado-	*	^AQ	*	0	0	1	A+L	0	-
barbudo-	*	^AQ	*	0	0	1	A+L	0	-
basco-		*	^AQ	*	0	0	1	A+L	0	-
basse-		*	^AQ	*	0	0	1	A+L	0	-
belgo-		*	^AQ	*	0	0	1	A+L	0	-
berbéro-	*	^AQ	*	0	0	1	A+L	0	-
bhoutano-	*	^AQ	*	0	0	1	A+L	0	-
bien-		*	^AQ	*	0	0	1	A+L	0	-
birmano-	*	^AQ	*	0	0	1	A+L	0	-
birmano-	*	^AQ	*	0	0	1	A+L	0	-
bissaoguinéo-	*	^AQ	*	0	0	1	A+L	0	-
bissauguinéo-	*	^AQ	*	0	0	1	A+L	0	-
biélorusso-	*	^AQ	*	0	0	1	A+L	0	-
boliviano-	*	^AQ	*	0	0	1	A+L	0	-
