# ===============================================
#            Affixation rules file
# ===============================================

# === Each line is a affixation rule, with the following fields:
# 1 Affix to erase form word form (e.g: gatito - ito = gat)
# 2 Affix (* for emtpy string) to add to the resulting root
#   to rebuild the lemma that must be searched in dictionary 
#   (e.g:  gat+o = gato)
# 3 Regexp condition on the parole tag of found dictionary entry
# 4 Parole tag for suffixed word (* = keep tag in dictionary entry)
# 5 Check lemma adding accents
# 6 Enclitic suffix (special accent behaviour in Spanish)
# 7 Prevent later modules from assigning more tags to the word
# 8 Lemma to assign: any combination of: F,R,L,A,<literal> separated with '+'
#                    where: F=original form, R=root found in dict, 
# 		            L=lemma in matching dict entry, A=affix
#                    examples:  A+L=affix+lemma,  R=root,  R+mente= root+"mente"
# 9 Consider the suffix always, not only for unknown words.
# 10 How to retokenize the word if necessary (see uer manual).
#==============================================================



<Prefixes>
## Prefijos derivativos de adverbios: 'zu-', sirve sobre todo para formar superlativos. 
## Se adjunta a otras categorías
# zu            *       ^(A|N|V)        RG      0       0       0       A+L     0       -

# prefixes for verbs
ab		*	^V		*	0	0	1	A+L	0	-
an		*	^V		*	0	0	1	A+L	0	-
auf		*	^V		*	0	0	1	A+L	0	-
aus		*	^V		*	0	0	1	A+L	0	-
bei		*	^V		*	0	0	1	A+L	0	-
mit		*	^V		*	0	0	1	A+L	0	-
nach		*	^V		*	0	0	1	A+L	0	-
vor		*	^V		*	0	0	1	A+L	0	-
zu		*	^V		*	0	0	1	A+L	0	-
dar		*	^V		*	0	0	1	A+L	0	-
dabeia		*	^V		*	0	0	1	A+L	0	-
daher		*	^V		*	0	0	1	A+L	0	-
dahin		*	^V		*	0	0	1	A+L	0	-
daneben		*	^V		*	0	0	1	A+L	0	-
daran		*	^V		*	0	0	1	A+L	0	-
darauf		*	^V		*	0	0	1	A+L	0	-
darunter	*	^V		*	0	0	1	A+L	0	-
davon		*	^V		*	0	0	1	A+L	0	-
davor		*	^V		*	0	0	1	A+L	0	-
dazu		*	^V		*	0	0	1	A+L	0	-
ein		*	^V		*	0	0	1	A+L	0	-
empor		*	^V		*	0	0	1	A+L	0	-
entgegen	*	^V		*	0	0	1	A+L	0	-
fehl		*	^V		*	0	0	1	A+L	0	-
fort		*	^V		*	0	0	1	A+L	0	-
her		*	^V		*	0	0	1	A+L	0	-
herum		*	^V		*	0	0	1	A+L	0	-
herunter	*	^V		*	0	0	1	A+L	0	-
hin		*	^V		*	0	0	1	A+L	0	-
hunüber		*	^V		*	0	0	1	A+L	0	-
inne		*	^V		*	0	0	1	A+L	0	-
los		*	^V		*	0	0	1	A+L	0	-
nieder		*	^V		*	0	0	1	A+L	0	-
überein		*	^V		*	0	0	1	A+L	0	-
umher		*	^V		*	0	0	1	A+L	0	-
voraus		*	^V		*	0	0	1	A+L	0	-
vorbei		*	^V		*	0	0	1	A+L	0	-
vorüber		*	^V		*	0	0	1	A+L	0	-
vorweg		*	^V		*	0	0	1	A+L	0	-
weg		*	^V		*	0	0	1	A+L	0	-
weiter		*	^V		*	0	0	1	A+L	0	-
wieder		*	^V		*	0	0	1	A+L	0	-
zurück		*	^V		*	0	0	1	A+L	0	-
zusammen	*	^V		*	0	0	1	A+L	0	-
durch		*	^V		*	0	0	1	A+L	0	-
hinter		*	^V		*	0	0	1	A+L	0	-
über		*	^V		*	0	0	1	A+L	0	-
unter		*	^V		*	0	0	1	A+L	0	-
wider		*	^V		*	0	0	1	A+L	0	-
be		*	^V		*	0	0	1	A+L	0	-
ent		*	^V		*	0	0	1	A+L	0	-
emp		*	^V		*	0	0	1	A+L	0	-
er		*	^V		*	0	0	1	A+L	0	-
ge		*	^V		*	0	0	1	A+L	0	-
ver		*	^V		*	0	0	1	A+L	0	-
zer		*	^V		*	0	0	1	A+L	0	-
de		*	^V		*	0	0	1	A+L	0	-
des		*	^V		*	0	0	1	A+L	0	-
dis		*	^V		*	0	0	1	A+L	0	-
in		*	^V		*	0	0	1	A+L	0	-
re		*	^V		*	0	0	1	A+L	0	-


## negative prefixes for adjectives
a		*	^A		*	0	0	1	A+L	0	-
an		*	^A		*	0	0	1	A+L	0	-
de		*	^A		*	0	0	1	A+L	0	-
des		*	^A		*	0	0	1	A+L	0	-
di		*	^A		*	0	0	1	A+L	0	-
dis		*	^A		*	0	0	1	A+L	0	-
il		*	^A		*	0	0	1	A+L	0	-
im		*	^A		*	0	0	1	A+L	0	-
in		*	^A		*	0	0	1	A+L	0	-
ir		*	^A		*	0	0	1	A+L	0	-
non		*	^A		*	0	0	1	A+L	0	-
ge		*	^A		*	0	0	1	A+L	0	-
ab		*	^A		*	0	0	1	A+L	0	-
un		*	^A		*	0	0	1	A+L	0	-


## prefixes for nouns
erz		*	^N		*	0	0	1	A+L	0	-
über		*	^N		*	0	0	1	A+L	0	-
affen		*	^N		*	0	0	1	A+L	0	-
bullen		*	^N		*	0	0	1	A+L	0	-
heiden		*	^N		*	0	0	1	A+L	0	-
mords		*	^N		*	0	0	1	A+L	0	-
in		*	^N		*	0	0	1	A+L	0	-
nicht		*	^N		*	0	0	1	A+L	0	-
fehl		*	^N		*	0	0	1	A+L	0	-
lause		*	^N		*	0	0	1	A+L	0	-
miss		*	^N		*	0	0	1	A+L	0	-
ko		*	^N		*	0	0	1	A+L	0	-
mit		*	^N		*	0	0	1	A+L	0	-
un		*	^N		*	0	0	1	A+L	0	-
#ge		*	^N		*	0	0	1	A+L	0	-


## augmentative prefixes
## Añado un '#' pq no los he encontrado
#aber		*	^(A|N|V)	*	0	0	1	A+L	0	-
#affen		*	^(A|N)		*	0	0	1	A+L	0	-
#bären		*	^(A|N)		*	0	0	1	A+L	0	-
#bomben		*	^(A|N)		*	0	0	1	bombe+L	0	-
## dreck
#erz		*	^(A|N|V)	*	0	0	1	A+L	0	-
#extra		*	^(A|N)		*	0	0	1	A+L	0	-
#extra-		*	^(A|N)		*	0	0	1	A+L	0	-
## grotten
## hölle
## hund
#hyper		*	^(A|N)		*	0	0	1	A+L	0	-
## knall
## mega
## mord
## mutterseelen
## ober
## piek
## quietsch
## sau
## sheiße
## schwein
#stink		*	^(A|N)		*	0	0	1	A+L	0	-
#stock		*	^A		*	0	0	1	A+L	0	-
#tot		*	^(A|N|V)	*	0	0	1	A+L	0	-
#ur		*	^(A|N)		*	0	0	1	A+L	0	-
</Prefixes>



<Suffixes>
# Sufijación de adjectivos a partir de verbos y/o sustantivos: trinkbar, verlässlich, traurig, ratsam, arbeitslos
ig		en|*	^(N|V)		AP0000	0	0	0	L	0	-
ige             en|*    ^(N|V)          AQAFS0  0       0       0       L       0       -
ige             en|*    ^(N|V)          AQA0P0  0       0       0       L       0       -
ige             en|*    ^(N|V)          AQANS0  0       0       0       L       0       -
ige             en|*    ^(N|V)          AQN00C  0       0       0       L       0       -
igem            en|*    ^(N|V)          AQDMS0  0       0       0       L       0       -
igem            en|*    ^(N|V)          AQDNS0  0       0       0       L       0       -
igen            en|*    ^(N|V)          AQA0P0  0       0       0       L       0       -
igen            en|*    ^(N|V)          AQAMS0  0       0       0       L       0       -
igen            en|*    ^(N|V)          AQD000  0       0       0       L       0       -
igen            en|*    ^(N|V)          AQG000  0       0       0       L       0       -
igen            en|*    ^(N|V)          AQN0P0  0       0       0       L       0       -
